<table>
  <caption>SpeX Observations</caption>
  <tr><th>UT Date</th><th>Mode</th><th>MWC 480 Airmass</th><th>Calibration Star Airmass</th><th>Calibration Star</th></tr>
  <tr><th>2006.08.22</th><td>SXD</td><td>1.14</td><td>1.15</td><td>HD 25152</td></tr>
  <tr><th></th><td>LXD</td><td>1.19</td><td>1.15</td><td>HD 25152</td></tr>
  <tr><th>2006.08.23</th><td>SXD</td><td>1.09</td><td>1.15</td><td>HD 25152</td></tr>
  <tr><th></th><td>LXD</td><td>1.13</td><td>1.12</td><td>HD 25152</td></tr>
  <tr><th>2006.10.19</th><td>SXD</td><td>1.04</td><td>1.06</td><td>HD 31592</td></tr>
  <tr><th></th><td>LXD</td><td>1.04</td><td>1.07</td><td>HD 31592</td></tr>
  <tr><th>2006.11.28</th><td>SXD</td><td>1.02</td><td>1.01</td><td>HD 31592</td></tr>
  <tr><th></th><td>LXD</td><td>1.02</td><td>1.02</td><td>HD 31592</td></tr>
  <tr><th>2007.02.25</th><td>SXD</td><td>1.18</td><td>1.06</td><td>HD 31295</td></tr>
  <tr><th></th><td>LXD</td><td>1.24</td><td>1.37</td><td>HD 31295</td></tr>
  <tr><th>2007.12.09</th><td>SXD</td><td>1.03</td><td>1.06</td><td>HD 25152</td></tr>
  <tr><th>2007.12.10</th><td>LXD</td><td>1.28</td><td>1.11</td><td>HD 25152</td></tr>
  <tr><th></th><td>Prism</td><td>1.05</td><td>1.06</td><td>HD 25152</td></tr>
  <tr><th>2008.10.04</th><td>SXD</td><td>1.12</td><td>1.21</td><td>HD 31069</td></tr>
  <tr><th></th><td>LXD</td><td>1.09</td><td>1.23</td><td>HD 31069</td></tr>
  <tr><th></th><td>Prism</td><td>1.04</td><td>1.01</td><td>HD 31069</td></tr>
  <tr><th>2009.12.01</th><td>SXD</td><td>1.20</td><td>1.16</td><td>HD 31069</td></tr>
  <tr><th></th><td>LXD</td><td>1.16</td><td>1.19</td><td>HD 31069</td></tr>
  <tr><th></th><td>Prism</td><td>1.70</td><td>1.66</td><td>HD 31069</td></tr>
  <tr><th>2011.03.04</th><td>SXD</td><td>1.04</td><td>1.11</td><td>HD 31069</td></tr>
  <tr><th>2011.10.16</th><td>SXD</td><td>1.02</td><td>1.07</td><td>HD 25152</td></tr>
  <tr><th></th><td>LXD</td><td>1.12</td><td>1.14</td><td>HD 25152</td></tr>
  <tr><th></th><td>Prism</td><td>1.02</td><td>1.05</td><td>HD 25152</td></tr>
</table>
