<table>
  <caption>MC neutron emission spectrum</caption>
  <tr><th>Energy (MeV)</th><th>Relative Intensity</th></tr>
  <tr><th>0.1</th><td>0 0.06</td></tr>
  <tr><th>0.5</th><td>0 0.45</td></tr>
  <tr><th>1.0</th><td>0 0.90</td></tr>
  <tr><th>2.0</th><td>0 1.0</td></tr>
  <tr><th>3.0</th><td>0 0.84</td></tr>
  <tr><th>4.0</th><td>0 0.63</td></tr>
  <tr><th>5.0</th><td>0 0.41</td></tr>
  <tr><th>6.0</th><td>0 0.24</td></tr>
  <tr><th>7.0</th><td>0 0.13</td></tr>
  <tr><th>8.0</th><td>0 0.09</td></tr>
  <tr><th>9.0</th><td>0 0.96</td></tr>
  <tr><th>10.0</th><td>0 0.92</td></tr>
</table>
