<table>
  <caption>Estimated values of Mass (M), Cosmological Constant Λ and Kerr Parameter ( a ) for different Galaxies</caption>
  <tr><td>Name Of Galaxy</td><td>Mass (M_())</td><td>Mass In kg</td><td>Cosmological Constant (km ^((-2)) )</td><td>Kerr Parameter ( a )</td><td>SSE</td><td>R- Square Error</td><td>Adjusted R-Squared Error</td><td>RMSE</td></tr>
  <tr><td>NGC0224</td><td>(39.05 ± 6.25) × 10 ^((10))</td><td>(7.767 ± 1.242) × 10 ^((41))</td><td>(2.339 ± 0.374) × 10 ^((-48))</td><td>(0.9900 ± 0.1584)</td><td>91319.635</td><td>0.3090</td><td>0.3090</td><td>13.190</td></tr>
  <tr><td>NGC0891</td><td>(18.88 ± 3.02) × 10 ^((10))</td><td>(3.755 ± 0.601) × 10 ^((41))</td><td>(2.337 ± 0.374) × 10 ^((-48))</td><td>(0.7800 ± 0.1248)</td><td>14462.815</td><td>0.9472</td><td>0.9472</td><td>6.021</td></tr>
  <tr><td>NGC1097</td><td>(70.37 ± 11.26) × 10 ^((10))</td><td>(13.996 ± 2.239) × 10 ^((41))</td><td>(2.331 ± 0.373) × 10 ^((-48))</td><td>(0.8900 ± 0.1424)</td><td>25440.000</td><td>0.0427</td><td>0.0427</td><td>10.520</td></tr>
  <tr><td>NGC1365</td><td>(43.36 ± 6.94) × 10 ^((10))</td><td>(8.624 ± 1.380) × 10 ^((41))</td><td>(5.023 ± 0.804) × 10 ^((-49))</td><td>(0.7980 ± 0.1277)</td><td>17726.015</td><td>0.0165</td><td>0.0165</td><td>8.704</td></tr>
  <tr><td>NGC1808</td><td>(9.55 ± 1.53) × 10 ^((10))</td><td>(1.899 ± 0.304) × 10 ^((41))</td><td>(2.020 ± 0.323) × 10 ^((-47))</td><td>(0.8809 ± 0.1409)</td><td>31935.047</td><td>0.7259</td><td>0.7359</td><td>11.990</td></tr>
  <tr><td>NGC2683</td><td>(11.69 ± 1.87) × 10 ^((10))</td><td>(2.325 ± 0.372) × 10 ^((41))</td><td>(2.330 ± 0.373) × 10 ^((-48))</td><td>(0.8600 ± 0.1376)</td><td>855.955</td><td>0.2592</td><td>0.2592</td><td>13.310</td></tr>
  <tr><td>NGC2903</td><td>(25.04 ± 4.01) × 10 ^((10))</td><td>(4.980 ± 0.797) × 10 ^((41))</td><td>(2.278 ± 0.364) × 10 ^((-48))</td><td>(0.7721 ± 0.1235)</td><td>840.200</td><td>0.8869</td><td>0.8863</td><td>2.191</td></tr>
  <tr><td>NGC3031</td><td>(16.06 ± 2.56) × 10 ^((10))</td><td>(3.194 ± 0.511) × 10 ^((41))</td><td>(2.337 ± 0.374) × 10 ^((-48))</td><td>(0.9500 ± 0.1520)</td><td>53039.950</td><td>0.7400</td><td>0.7400</td><td>12.850</td></tr>
  <tr><td>NGC3034</td><td>(0.73 ± 0.12) × 10 ^((10))</td><td>(0.145 ± 0.023) × 10 ^((41))</td><td>(7.523 ± 1.204) × 10 ^((-42))</td><td>(0.9530 ± 0.1525)</td><td>2429.588</td><td>0.9843</td><td>0.9843</td><td>5.934</td></tr>
  <tr><td>NGC3079</td><td>(21.76 ± 3.48) × 10 ^((10))</td><td>(4.328 ± 0.692) × 10 ^((41))</td><td>(4.100 ± 0.656) × 10 ^((-49))</td><td>(0.9600 ± 0.1536)</td><td>16568.786</td><td>0.8425</td><td>0.8425</td><td>7.107</td></tr>
  <tr><td>NGC3379</td><td>(10.27 ± 1.64) × 10 ^((10))</td><td>(2.043 ± 0.327) × 10 ^((41))</td><td>(2.220 ± 0.355) × 10 ^((-48))</td><td>(0.9990 ± 0.1598)</td><td>12077.879</td><td>0.0494</td><td>0.0494</td><td>25.900</td></tr>
  <tr><td>NGC3521</td><td>(21.76 ± 3.48) × 10 ^((10))</td><td>(4.328 ± 0.692) × 10 ^((41))</td><td>(1.790 ± 0.286) × 10 ^((-49))</td><td>(0.8720 ± 0.1395)</td><td>63070.305</td><td>0.0430</td><td>0.0430</td><td>15.090</td></tr>
  <tr><td>NGC3628</td><td>(18.65 ± 2.98) × 10 ^((10))</td><td>(3.709 ± 0.593) × 10 ^((41))</td><td>(2.221 ± 0.355) × 10 ^((-48))</td><td>(0.8200 ± 0.1312)</td><td>14779.169</td><td>0.0639</td><td>0.0556</td><td>11.490</td></tr>
  <tr><td>NGC4100</td><td>(13.96 ± 2.23) × 10 ^((10))</td><td>(2.776 ± 0.444) × 10 ^((41))</td><td>(3.130 ± 0.501) × 10 ^((-48))</td><td>(0.8800 ± 0.1408)</td><td>1390.000</td><td>0.0424</td><td>0.0424</td><td>10.760</td></tr>
  <tr><td>NGC4321</td><td>(46.55 ± 7.45) × 10 ^((10))</td><td>(9.259 ± 1.481) × 10 ^((41))</td><td>(3.220 ± 0.516) × 10 ^((-48))</td><td>(0.7974 ± 0.1276)</td><td>29804.774</td><td>0.0282</td><td>0.2352</td><td>12.030</td></tr>
  <tr><td>NGC4565</td><td>(49.47 ± 7.92) × 10 ^((10))</td><td>(9.839 ± 1.574) × 10 ^((41))</td><td>(2.342 ± 0.375) × 10 ^((-48))</td><td>(0.8200 ± 0.1312)</td><td>8539.000</td><td>0.9013</td><td>0.9013</td><td>2.729</td></tr>
  <tr><td>NGC4631</td><td>(16.12 ± 2.58) × 10 ^((10))</td><td>(3.206 ± 0.513) × 10 ^((41))</td><td>(2.338 ± 0.374) × 10 ^((-48))</td><td>(0.7410 ± 0.1186)</td><td>2559.000</td><td>0.9633</td><td>0.9633</td><td>2.729</td></tr>
  <tr><td>NGC4736</td><td>(6.89 ± 1.10) × 10 ^((10))</td><td>(1.370 ± 0.219) × 10 ^((41))</td><td>(1.242 ± 0.198) × 10 ^((-42))</td><td>(0.7044 ± 0.1127)</td><td>128.300</td><td>0.9969</td><td>0.9969</td><td>1.095</td></tr>
  <tr><td>NGC5033</td><td>(61.73 ± 9.88) × 10 ^((10))</td><td>(12.228 ± 1.956) × 10 ^((41))</td><td>(7.640 ± 1.222) × 10 ^((-49))</td><td>(0.8600 ± 0.1376)</td><td>9858.784</td><td>0.7809</td><td>0.7809</td><td>4.952</td></tr>
  <tr><td>NGC5194</td><td>(16.63 ± 2.66) × 10 ^((10))</td><td>(3.308 ± 0.529) × 10 ^((41))</td><td>(4.048 ± 0.648) × 10 ^((-42))</td><td>(0.7490 ± 0.1198)</td><td>2300.000</td><td>0.9934</td><td>0.9934</td><td>3.700</td></tr>
  <tr><td>NGC5236</td><td>(24.42 ± 3.91) × 10 ^((10))</td><td>(4.857 ± 0.777) × 10 ^((41))</td><td>(2.296 ± 0.367) × 10 ^((-48))</td><td>(0.7679 ± 0.1228)</td><td>57164.049</td><td>0.0119</td><td>0.0097</td><td>11.090</td></tr>
  <tr><td>NGC5457</td><td>(16.70 ± 2.58) × 10 ^((10))</td><td>(3.321 ± 0.531) × 10 ^((41))</td><td>(2.180 ± 0.349) × 10 ^((-49))</td><td>(0.7419 ± 0.1187)</td><td>784.106</td><td>0.9766</td><td>0.9766</td><td>2.447</td></tr>
  <tr><td>NGC5907</td><td>(41.23 ± 6.59) × 10 ^((10))</td><td>(8.200 ± 1.312) × 10 ^((41))</td><td>(2.347 ± 0.375) × 10 ^((-48))</td><td>(0.8600 ± 0.1376)</td><td>3413.499</td><td>0.9643</td><td>0.9643</td><td>3.183</td></tr>
  <tr><td>NGC2708</td><td>(30.76 ± 4.92) × 10 ^((10))</td><td>(6.118 ± 0.979) × 10 ^((41))</td><td>-(1.860 ± 0.298) × 10 ^((-42))</td><td>(0.7842 ± 0.1255)</td><td>3893.188</td><td>0.8909</td><td>0.8909</td><td>2.556</td></tr>
  <tr><td>NGC3495</td><td>(0.12 ± 0.02) × 10 ^((10))</td><td>(0.023 ± 0.004) × 10 ^((41))</td><td>-(3.983 ± 0.637) × 10 ^((-41))</td><td>(0.9100 ± 0.1456)</td><td>15912.276</td><td>0.7329</td><td>0.7297</td><td>13.680</td></tr>
  <tr><td>NGC3672</td><td>(4.08 ± 0.65) × 10 ^((10))</td><td>(0.811 ± 0.129) × 10 ^((41))</td><td>-(1.329 ± 0.213) × 10 ^((-41))</td><td>(0.8896 ± 0.1423)</td><td>4407.277</td><td>0.9130</td><td>0.9130</td><td>4.742</td></tr>
  <tr><td>NGC4303</td><td>(4.57 ± 0.73) × 10 ^((10))</td><td>(0.909 ± 0.145) × 10 ^((41))</td><td>-(3.450 ± 0.552) × 10 ^((-42))</td><td>(0.9900 ± 0.1584)</td><td>383.910</td><td>0.3278</td><td>0.3225</td><td>1.739</td></tr>
  <tr><td>NGC4569</td><td>(3.16 ± 0.50) × 10 ^((10))</td><td>(0.629 ± 0.101) × 10 ^((41))</td><td>-(3.970 ± 0.635) × 10 ^((-41))</td><td>(0.9860 ± 0.1578)</td><td>3900.010</td><td>0.9247</td><td>0.9239</td><td>6.547</td></tr>
  <tr><td>NGC6951</td><td>(5.04 ± 0.81) × 10 ^((10))</td><td>(1.002 ± 0.160) × 10 ^((41))</td><td>-(1.783 ± 0.285) × 10 ^((-41))</td><td>(0.8550 ± 0.137)</td><td>3215.000</td><td>0.8449</td><td>0.8432</td><td>5.818</td></tr>
  <tr><td>UGC3691</td><td>(0.40 ± 0.06) × 10 ^((10))</td><td>(0.079 ± 0.012) × 10 ^((41))</td><td>-(1.394 ± 0.223) × 10 ^((-41))</td><td>(0.9129 ± 0.1461)</td><td>6228.231</td><td>0.8795</td><td>0.8795</td><td>7.031</td></tr>
</table>
