<table>
  <caption>Hadron masses used in the calculation of the Ω b mass prediction</caption>
  <tr><th>Splitting</th><th>Value (MeV)</th></tr>
  <tr><th>M(Ω_(c))</th><td>2697.50± 2.6</td></tr>
  <tr><th>M(Ω_(c)^(*))</th><td>2768.30± 3.0</td></tr>
  <tr><th>M(Ω_(c)^(*))-M(Ω_(c))</th><td>0070.80± 1.5</td></tr>
  <tr><th>M(D_(s))</th><td>1968.49± 0.34</td></tr>
  <tr><th>M(D_(s)^(*))</th><td>2112.30± 0.5</td></tr>
  <tr><th>M(B_(s))</th><td>5366.10± 0.6</td></tr>
  <tr><th>M(B_(s)^(*))</th><td>5412.00± 1.2</td></tr>
  <tr><th>M(B_(s)^(*))-M(B_(s))</th><td>0045.90± 1.2</td></tr>
  <tr><th>M(_(c)^(0))</th><td>2471.00± 0.4</td></tr>
  <tr><th>M(_(b)^(-))</th><td>5792.90± 3.0</td></tr>
</table>
