<table>
  <caption>Values of q = R 3 ⁢ ω 2 / G ⁢ M , of oblateness, ϵ , and gravitational quadrupole, J 2 , ellipticity, e , squared and dimensionless moment of inertia κ 2 = I / M ⁢ R 2 .</caption>
  <tr><td>body</td><td>q</td><td>ε</td><td>J_(2)</td><td>e^(2)</td><td>^(2)</td></tr>
  <tr><td>Sun ^((4))</td><td>1.15\!·\!10^(-5)</td><td>6.3\!·\!10^(-6)</td><td>3.7\!·\!10^(-7)</td><td>1.3\!·\!10^(-5)</td><td>0.059</td></tr>
  <tr><td>Earth ^((1))</td><td>3.45\!·\!10^(-3)</td><td>3.35\!·\!10^(-3)</td><td>1.08\!·\!10^(-3)</td><td>6.69\!·\!10^(-3)</td><td>0.3307</td></tr>
  <tr><td>Earth ^((2))</td><td>3.45\!·\!10^(-3)</td><td>3.35\!·\!10^(-3)</td><td>1.08\!·\!10^(-3)</td><td>6.69\!·\!10^(-3)</td><td>0.323</td></tr>
  <tr><td>Mars ^((1))</td><td>4.57\!·\!10^(-3)</td><td>6.48\!·\!10^(-3)</td><td>1.96\!·\!10^(-3)</td><td>1.29\!·\!10^(-2)</td><td>0.366</td></tr>
  <tr><td>Mars ^((2))</td><td>7.04\!·\!10^(-3)</td><td>5.24\!·\!10^(-3)</td><td>2.78\!·\!10^(-3)</td><td>1.04\!·\!10^(-2)</td><td>0.375</td></tr>
  <tr><td>Jupiter ^((1))</td><td>8.34\!·\!10^(-2)</td><td>6.49\!·\!10^(-2)</td><td>1.47\!·\!10^(-2)</td><td>1.26\!·\!10^(-1)</td><td>0.254</td></tr>
  <tr><td>Jupiter ^((2))</td><td>8.29\!·\!10^(-2)</td><td>6.51\!·\!10^(-2)</td><td>1.45\!·\!10^(-2)</td><td>1.26\!·\!10^(-1)</td><td>0.233</td></tr>
  <tr><td>Jupiter ^((3))</td><td>8.56\!·\!10^(-2)</td><td>6.37\!·\!10^(-2)</td><td>1.54\!·\!10^(-2)</td><td>1.27\!·\!10^(-1)</td><td></td></tr>
  <tr><td>Saturn ^((1))</td><td>1.40\!·\!10^(-1)</td><td>9.80\!·\!10^(-2)</td><td>1.63\!·\!10^(-2)</td><td>1.86\!·\!10^(-1)</td><td>0.210</td></tr>
  <tr><td>Saturn ^((2))</td><td>1.41\!·\!10^(-1)</td><td>9.73\!·\!10^(-2)</td><td>1.67\!·\!10^(-2)</td><td>1.85\!·\!10^(-1)</td><td>0.176</td></tr>
  <tr><td>Saturn ^((3))</td><td>1.47\!·\!10^(-1)</td><td>9.44\!·\!10^(-2)</td><td>1.87\!·\!10^(-2)</td><td>1.89\!·\!10^(-1)</td><td></td></tr>
  <tr><td>Uranus ^((1))</td><td>2.89\!·\!10^(-2)</td><td>2.29\!·\!10^(-2)</td><td>3.52\!·\!10^(-3)</td><td>4.53\!·\!10^(-2)</td><td>0.225</td></tr>
  <tr><td>Uranus ^((2))</td><td>3.50\!·\!10^(-2)</td><td>1.98\!·\!10^(-2)</td><td>5.55\!·\!10^(-3)</td><td>3.92\!·\!10^(-2)</td><td>0.179</td></tr>
  <tr><td>Neptune ^((1))</td><td>2.56\!·\!10^(-2)</td><td>1.71\!·\!10^(-2)</td><td>3.54\!·\!10^(-3)</td><td>3.39\!·\!10^(-2)</td><td>0.24</td></tr>
  <tr><td>Neptune ^((2))</td><td>2.34\!·\!10^(-2)</td><td>1.82\!·\!10^(-2)</td><td>2.80\!·\!10^(-3)</td><td>3.61\!·\!10^(-2)</td><td>0.196</td></tr>
</table>
