<table>
  <caption>The peak times and lags of the pulses in the sample</caption>
  <tr><th></th><th colspan="2">Counts</th><th colspan="2">Photon flux</th></tr>
  <tr><th>Trigger</th><th>peak time [s]</th><th>lag13 [s]</th><th>peak time [s]</th><th>lag13 [s]</th></tr>
  <tr><th>907</th><td>1.55± 0.01</td><td>1.3± 0.3</td><td>2.1± 0.1</td><td>3.1± 1.6</td></tr>
  <tr><th>973a</th><td>2.84± 0.02</td><td>0.75± 0.08</td><td>3.1± 0.1</td><td>0.8± 0.6</td></tr>
  <tr><th>973b</th><td>24.04± 0.03</td><td>.0004± 0.06</td><td>24.1± 0.2</td><td>0.1± 0.7</td></tr>
  <tr><th>999</th><td>3.939± 0.003</td><td>0.11± 0.01</td><td>4.02± 0.02</td><td>0.14± 0.11</td></tr>
  <tr><th>1625</th><td>4.859± 0.005</td><td>0.15± 0.02</td><td>4.98± 0.03</td><td>0.12± 0.16</td></tr>
  <tr><th>1883</th><td>1.23± 0.02</td><td>0.9± 0.1</td><td>1.59± 0.09</td><td>1.2± 0.4</td></tr>
  <tr><th>2083</th><td>8.578± 0.004</td><td>0.23± 0.03</td><td>8.67± 0.03</td><td>0.2± 0.2</td></tr>
  <tr><th>2156</th><td>14.45± 0.01</td><td>0.27± 0.05</td><td>14.64± 0.05</td><td>0.3± 0.3</td></tr>
  <tr><th>3257</th><td>2.944± 0.001</td><td>2.2± 0.8</td><td>4.5± 0.3</td><td>3± 5</td></tr>
  <tr><th>3648a</th><td>23.5± 0.1</td><td>2.7± 0.6</td><td>23.9± 0.4</td><td>1.7± 4.3</td></tr>
  <tr><th>3648b</th><td>40.99± 0.01</td><td>0.4± 0.1</td><td>41.2± 0.1</td><td>0.7± 0.8</td></tr>
  <tr><th>3765</th><td>66.069± 0.004</td><td>0.05± 0.02</td><td>66.12± 0.02</td><td>0.05± 0.11</td></tr>
  <tr><th>3891</th><td>33.198± 0.005</td><td>-0.02± 0.03</td><td>33.24± 0.02</td><td>-0.03± 0.11</td></tr>
  <tr><th>5478</th><td>2.00± 0.05</td><td>0.8± 0.3</td><td>2.3± 0.2</td><td>1.3± 1.7</td></tr>
  <tr><th>5563</th><td>1.418± 0.004</td><td>0.07± 0.01</td><td>1.47± 0.01</td><td>0.08± 0.06</td></tr>
  <tr><th>6581</th><td>47.607± 0.002</td><td>0.053± 0.009</td><td>47.66± 0.02</td><td>0.08± 0.04</td></tr>
  <tr><th>7293</th><td>3.24± 0.06</td><td>2.0± 0.9</td><td>4.0± 0.3</td><td>3± 4</td></tr>
</table>
