# Household Debt per Capita by State (Consumer Credit and Loans)

| State | Year | Household debt per capita (USD) | Mortgage share (%) | Auto loan share (%) | Credit card share (%) |
|---|---:|---:|---:|---:|---:|
| California | 2023 | 78,400 | 68 | 9 | 6 |
| Texas | 2023 | 62,150 | 63 | 11 | 7 |
| Florida | 2023 | 59,800 | 65 | 10 | 8 |
| New York | 2023 | 81,020 | 70 | 7 | 6 |
| Illinois | 2023 | 55,430 | 61 | 12 | 7 |
| Ohio | 2023 | 41,600 | 58 | 13 | 8 |
| Georgia | 2023 | 50,210 | 60 | 12 | 8 |
| Arizona | 2023 | 57,980 | 66 | 10 | 7 |
| Colorado | 2023 | 72,500 | 69 | 9 | 6 |
