# Club Honours Record — Aston Villa FC (Selected Major Titles)

| Season/Year | Honour (Trophy/Title) | Competition Level | Result/Notes |
| --- | --- | --- | --- |
| 1886–87 | FA Cup | Domestic Cup | Winners |
| 1893–94 | Football League First Division | Domestic League | Champions |
| 1895–96 | Football League First Division | Domestic League | Champions |
| 1896–97 | Football League First Division | Domestic League | Champions |
| 1897–98 | FA Cup | Domestic Cup | Winners |
| 1898–99 | Football League First Division | Domestic League | Champions |
| 1899–1900 | FA Cup | Domestic Cup | Winners |
| 1909–10 | FA Cup | Domestic Cup | Winners |
| 1923–24 | FA Cup | Domestic Cup | Winners |
| 1956–57 | FA Cup | Domestic Cup | Winners |
| 1960–61 | Football League Cup | Domestic Cup | Winners |
| 1974–75 | Football League Cup | Domestic Cup | Winners |
| 1976–77 | Football League Cup | Domestic Cup | Winners |
| 1980–81 | Football League First Division | Domestic League | Champions |
| 1981–82 | European Cup | Continental | Winners |
| 1982 | European Super Cup | Continental | Winners |
