# Income Statement Profit Lines by Quarter  Operating Profit and EBIT (FY2023–FY2024)

| Fiscal Period | Operating Profit (USD m) | EBIT (USD m) | Comment |
| --- | ---: | ---: | --- |
| FY2023 Q1 | 120 | 118 | Net non-operating expense |
| FY2023 Q2 | 135 | 140 | Other income below operating profit |
| FY2023 Q3 | 128 | 125 | Non-operating charges |
| FY2023 Q4 | 142 | 145 | Net other income |
| FY2024 Q1 | 130 | 127 | Non-operating expense |
| FY2024 Q2 | 138 | 141 | Net other income |
| FY2024 Q3 | 133 | 136 | Small gains below operating line |
| FY2024 Q4 | 150 | 149 | Net non-operating expense |
| FY2024 (Full Year) | 551 | 553 | Sum of quarters; rounding differences |
