# Central & West Africa  countries with their capital cities (one row per country)

| Subregion | Country | Capital city/cities |
| --- | --- | --- |
| West Africa | Nigeria | Abuja |
| West Africa | Ghana | Accra |
| West Africa | Senegal | Dakar |
| West Africa | Mali | Bamako |
| West Africa | Niger | Niamey |
| West Africa | Guinea | Conakry |
| West Africa | Sierra Leone | Freetown |
| West Africa | Liberia | Monrovia |
| Central Africa | Cameroon | Yaounde |
| Central Africa | Central African Republic | Bangui |
| Central Africa | Chad | N'Djamena |
| Central Africa | Democratic Republic of the Congo | Kinshasa |
