# Subject Offerings by School (GCSE A Level) with Comparison Across Nearby Schools

| Subject | Level | School A Offers | School B Offers | School C Offers | Notes |
| --- | --- | --- | --- | --- | --- |
| Mathematics | GCSE | Yes | Yes | Yes | Compulsory |
| English Language | GCSE | Yes | Yes | Yes | Compulsory |
| Triple Science | GCSE | Yes | No | Yes | Separate sciences |
| Computer Science | GCSE | Yes | Yes | No | Depends on staffing |
| Geography | GCSE | Yes | Yes | Yes | Option |
| History | GCSE | Yes | No | Yes | Option |
| Economics | A Level | Yes | No | No | Sixth Form only |
| Psychology | A Level | No | Yes | Yes | Sixth Form only |
| Further Mathematics | A Level | Yes | Yes | No | Small class sizes |
