# Prescription Dosing Frequency & Timing Abbreviations (Sig Codes)

| Category | Abbreviation | Meaning |
| --- | --- | --- |
| Frequency (daily) | qd | once daily |
| Frequency (daily) | qod | every other day |
| Frequency (daily) | bid | twice daily |
| Frequency (daily) | tid | three times daily |
| Frequency (daily) | qid | four times daily |
| Timing (time of day) | qAM | every morning |
| Timing (time of day) | qPM | every evening |
| Timing (around sleep) | qhs | every night at bedtime |
| Timing (around meals) | ac | before meals |
| Timing (around meals) | pc | after meals |
| Interval-based | q4h | every 4 hours |
| Interval-based | q6h | every 6 hours |
| Interval-based | q8h | every 8 hours |
| Interval-based | q12h | every 12 hours |
| As needed | prn | as needed |
| As needed (symptom-specific) | prn pain | as needed for pain |
| Special instruction | stat | immediately (give now) |
