# Cost of Attendance Breakdown by Program Year (Professional Program, 2025–2026)

| Cost Item (Annual) | Year 1 | Year 2 | Year 3 | Year 4 |
| --- | ---: | ---: | ---: | ---: |
| Tuition | $58,500 | $59,800 | $61,200 | $62,700 |
| Program / Lab Fees | $2,300 | $2,100 | $1,900 | $1,700 |
| Equipment & Instruments | $6,800 | $3,200 | $1,400 | $900 |
| Clinical Supplies | $1,200 | $1,600 | $2,200 | $2,600 |
| Books & Digital Resources | $1,450 | $950 | $750 | $600 |
| Housing & Meals | $18,400 | $18,900 | $19,500 | $20,100 |
| Transportation | $1,300 | $1,350 | $1,400 | $1,450 |
| Personal / Miscellaneous | $2,600 | $2,700 | $2,800 | $2,900 |
| Health Insurance | $2,250 | $2,250 | $2,250 | $2,250 |
| Licensing / Exam Fees | $0 | $350 | $1,150 | $1,900 |
| **Estimated Total** | **$94,800** | **$93,200** | **$92,550** | **$95,100** |
