# PNC Bank Routing Numbers by State Region

| State / Region | Bank Name | Routing Number | Notes (Location Scope) |
| --- | --- | --- | --- |
| Delaware | PNC Bank, National Association | 031100089 | Accounts opened in DE |
| District of Columbia | PNC Bank, National Association | 054000030 | Accounts opened in DC |
| Florida | PNC Bank, National Association | 267084199 | Accounts opened in FL |
| Maryland | PNC Bank, National Association | 054000030 | Accounts opened in MD |
| New Jersey | PNC Bank, National Association | 031207607 | Accounts opened in NJ |
| New York | PNC Bank, National Association | 043000096 | Accounts opened in NY |
| Ohio | PNC Bank, National Association | 042000096 | Accounts opened in OH |
| Pennsylvania (Philadelphia/Metro East) | PNC Bank, National Association | 031000053 | Regional variation within PA |
| Pennsylvania (Pittsburgh/West) | PNC Bank, National Association | 043000096 | Regional variation within PA |
| Virginia | PNC Bank, National Association | 054000030 | Accounts opened in VA |
| Wisconsin | PNC Bank, National Association | 071921891 | Accounts opened in WI |
