# Landlocked Countries by Continent (Sovereign States Only)

| Continent | Landlocked country | Landlocked status |
|---|---|---|
| Africa | Botswana | Landlocked |
| Africa | Burkina Faso | Landlocked |
| Africa | Chad | Landlocked |
| Africa | Ethiopia | Landlocked |
| Africa | Mali | Landlocked |
| Africa | Niger | Landlocked |
| Africa | Rwanda | Landlocked |
| Africa | Uganda | Landlocked |
| Asia | Afghanistan | Landlocked |
| Asia | Kazakhstan | Landlocked |
| Asia | Kyrgyzstan | Landlocked |
| Asia | Laos | Landlocked |
| Asia | Mongolia | Landlocked |
| Asia | Nepal | Landlocked |
| Europe | Austria | Landlocked |
| Europe | Czech Republic | Landlocked |
| Europe | Hungary | Landlocked |
| Europe | Luxembourg | Landlocked |
| Europe | Switzerland | Landlocked |
| South America | Bolivia | Landlocked |
| South America | Paraguay | Landlocked |
