# U.S. Routing Number Lookup by Bank and State (Selected Institutions)

| Bank Name | State | Routing Number |
|---|---|---|
| Bank of America, N.A. | California | 121000358 |
| Bank of America, N.A. | Florida | 063100277 |
| Chase (JPMorgan Chase Bank, N.A.) | New York | 021000021 |
| Chase (JPMorgan Chase Bank, N.A.) | New Jersey | 021202337 |
| Wells Fargo Bank, N.A. | Texas | 111900659 |
| Wells Fargo Bank, N.A. | Minnesota | 091000019 |
| PNC Bank, National Association | Pennsylvania | 031000053 |
| Truist Bank | North Carolina | 053101121 |
| U.S. Bank National Association | Illinois | 071004200 |
| Capital One, N.A. | Virginia | 051405515 |
