# Index of LGBT characters across movies and TV (single project column)

| Character | Project Name | Orientation/Gender Identity | Format |
| --- | --- | --- | --- |
| Maeve Wiley | Sex Education | Bisexual | TV series |
| Lord Varys | Game of Thrones | Gay | TV series |
| Titus Andromedon | Unbreakable Kimmy Schmidt | Gay | TV series |
| Paul Strickland | 9-1-1: Lone Star | Gay | TV series |
| Casey Gardner | Atypical | Bisexual | TV series |
| Adora | She-Ra and the Princesses of Power | Lesbian | Animated TV series |
| Simon Spier | Love, Simon | Gay | Film |
| M | James Bond (Daniel Craig era) | Gay | Film |
| Yoshi | The Bubble | Gay | Film |
