# Leader of the Opposition (Alberta) — Official Opposition leaders with start and end years

| Leader of the Opposition | Party | Took office | Left office | How the tenure ended |
|---|---|---:|---:|---|
| Grant Notley | Alberta New Democratic Party (NDP) | 1971 | 1984 | Resigned / succeeded by new caucus leader |
| Ray Martin | Alberta New Democratic Party (NDP) | 1984 | 1994 | Resigned as leader |
| Laurence Decore | Alberta Liberal Party | 1994 | 1996 | Resigned as leader |
| Nancy MacBeth | Alberta Liberal Party | 1996 | 1998 | Stepped down / replaced |
| Raj Pannu | Alberta New Democratic Party (NDP) | 2000 | 2004 | Resigned / succeeded |
| Kevin Taft | Alberta Liberal Party | 2004 | 2008 | Stepped down as leader |
| Brian Mason | Alberta New Democratic Party (NDP) | 2004 | 2014 | Resigned / succeeded |
| Danielle Smith | Wildrose Party | 2009 | 2014 | Left role after floor-crossing / leadership change |
| Jason Kenney | United Conservative Party (UCP) | 2018 | 2019 | Left role after forming government |
| Rachel Notley | Alberta New Democratic Party (NDP) | 2019 | 2022 | Stepped down as leader |
| Naheed Nenshi | Alberta New Democratic Party (NDP) | 2024 | 2026 | Served as opposition leader following leadership win |
