# Pizza Hut Sides, Drinks, and Add-Ons Price List

| Category | Item | Size | Price |
| --- | --- | --- | --- |
| Wings | Traditional Wings | 8 pc | $10.99 |
| Wings | Boneless Wings | 8 pc | $9.99 |
| Bread | Breadsticks | 5 pc | $6.49 |
| Bread | Cheese Sticks | Regular | $7.49 |
| Dessert | Cinnamon Sticks | Regular | $6.99 |
| Dessert | Chocolate Chip Cookie | Large | $7.99 |
| Drinks | 2-Liter Soda | Bottle | $3.49 |
| Drinks | Fountain Drink | Medium | $2.79 |
| Dips | Ranch Dip Cup | 1 cup | $1.29 |
| Extras | Extra Cheese (Topping) | Per pizza | $2.50 |
