# German Two-Way Prepositions (Wechselpräpositionen)  Case Depends on Meaning

| Preposition | Accusative When... | Dative When... | Example (Acc) | Example (Dat) |
|---|---|---|---|---|
| an | destination / movement toward a point | location at/near a point | Ich hänge das Bild **an** die Wand. | Das Bild hängt **an** der Wand. |
| auf | movement onto a surface | position on a surface | Ich lege das Buch **auf** den Tisch. | Das Buch liegt **auf** dem Tisch. |
| in | movement into an enclosed area | position inside | Ich gehe **in** die Schule. | Ich bin **in** der Schule. |
| über | movement to above/over | position above/over | Die Katze springt **über** den Zaun. | Die Lampe hängt **über** dem Tisch. |
| unter | movement to below/under | position below/under | Der Hund läuft **unter** den Tisch. | Der Hund liegt **unter** dem Tisch. |
| vor | movement to in front of | position in front of | Stell dich **vor** den Spiegel. | Du stehst **vor** dem Spiegel. |
| hinter | movement to behind | position behind | Ich stelle den Stuhl **hinter** den Tisch. | Der Stuhl steht **hinter** dem Tisch. |
| neben | movement to next to | position next to | Setz dich **neben** mich. | Du sitzt **neben** mir. |
| zwischen | movement into the space between | position between | Ich stelle die Vase **zwischen** die Gläser. | Die Vase steht **zwischen** den Gläsern. |
