# Felony Classification Labels by State (Selected U.S. Jurisdictions)

| State | Felony label system | Top category label | Mid category label | Lowest category label | Notes |
|---|---|---|---|---|---|
| New York | Letter grades | Class A-I / A-II | Class B | Class E | Uses lettered classes rather than degrees |
| Texas | Degrees | First-degree felony | Second-degree felony | State jail felony | Degree system; separate state-jail tier |
| Florida | Degrees | Life felony | First-degree felony | Third-degree felony | Has a separate "life felony" label |
| California | Numeric degrees (limited) + "wobbler" concept | N/A (varies by statute) | N/A | N/A | Many offenses treated as wobblers; labels vary |
| Illinois | Classes | Class X | Class 2 | Class 4 | Includes a special Class X category |
| Pennsylvania | Grades | Felony 1 (F1) | Felony 2 (F2) | Felony 3 (F3) | Graded felonies used in code |
| Washington | Classes | Class A | Class B | Class C | Class-based scheme |
| Colorado | Classes | Class 1 | Class 4 | Class 6 | Numeric class system |
| Arizona | Classes | Class 2 | Class 4 | Class 6 | Lower number indicates more serious |
| Massachusetts | Offense-based (no uniform felony classes) | N/A | N/A | N/A | Many crimes defined without a single statewide class table |
