# German Prepositions by Governed Case (Accusative   Dative   Genitive)

| Preposition | Governs Accusative | Governs Dative | Governs Genitive | Notes |
| --- | --- | --- | --- | --- |
| bis | Yes | No | No | often with another preposition (e.g., bis zu) |
| durch | Yes | No | No | motion/through |
| um | Yes | No | No | around; time duration |
| gegen | Yes | No | No | against; around (time) |
| ohne | Yes | No | No | without |
| seit | No | Yes | No | since; from (time) |
| aus | No | Yes | No | out of; origin |
| mit | No | Yes | No | with |
| zu | No | Yes | No | to; at (destination) |
| bei | No | Yes | No | at/near; with (someone) |
| trotz | No | No | Yes | despite (also sometimes with dative in informal usage) |
| während | No | No | Yes | during (also sometimes with dative) |
| wegen | No | No | Yes | because of (dative common in speech) |
