# Average Annual Snowfall by U.S. Climate Region (Normals)

| Climate region | Representative area | Avg annual snowfall (in) | Snowy days (avg) | Notes |
| --- | --- | --- | --- | --- |
| Northeast | New England & Mid-Atlantic | 58 | 29 | Coastal vs inland mixed |
| Midwest | Great Lakes & Plains | 38 | 22 | Lake-effect pockets not separated |
| Southeast | Gulf & Atlantic coastal plain | 2 | 1 | Rare events drive totals |
| Southwest | Desert & plateau | 10 | 4 | High-elevation snow not isolated |
| Northwest | Coastal & Cascades | 45 | 24 | Strong mountain gradient |
| Mountain West | Rockies & Intermountain | 72 | 38 | Elevation dominates |
| Alaska | Statewide | 74 | 41 | Large internal variation |
| Hawaii | Statewide | 0 | 0 | Summit snow excluded |
| U.S. Total | National aggregate | 26 | 14 | Area-weighted estimate |
