# Des Plaines , Illinois
> Economy

| # | Employer | Industry | # of Employees |
| --- | --- | --- | --- |
| 1 | UOP | Chemical Engineering Services | 1,500 |
| 2 | Rivers Casino | Entertainment and Gaming | 1,424 |
| 3 | Holy Family Medical Center | Medical Center | 1,036 |
| 4 | Oakton Community College | Public Community College | 990 |
| 5 | Maine West High School School District 207 | High School Education | 905 |
| 6 | East Maine School District 63 | K-8 grade education | 750 |
| 7 | Community Consolidated School District 62 | Pre-K to 8th grade education | 724 |
| 8 | Sysco Food Service | Food Wholesalers | 650 |
| 9 | Wheels, Inc. | Passenger car and truck leasing | 650 |
| 10 | Hart Shaffner & Marx | Men's Apparel | 550 |
