# Catalog of Websites and Online Services Blocked in Mainland China (Selected List)

| Service / Website | Primary Domain | Example URL |
|---|---|---|
| Google Search | google.com | https://www.google.com |
| Gmail | gmail.com | https://mail.google.com |
| Google Drive | drive.google.com | https://drive.google.com |
| Google Maps | maps.google.com | https://maps.google.com |
| YouTube | youtube.com | https://www.youtube.com |
| Facebook | facebook.com | https://www.facebook.com |
| Instagram | instagram.com | https://www.instagram.com |
| X (Twitter) | x.com | https://x.com |
| WhatsApp | whatsapp.com | https://www.whatsapp.com |
| Telegram | telegram.org | https://telegram.org |
| Wikipedia | wikipedia.org | https://en.wikipedia.org |
| Dropbox | dropbox.com | https://www.dropbox.com |
