# Cross-Platform Server List (Java + Bedrock Addresses Combined)

| Server Network | Java Address | Bedrock Address | Bedrock Port | Main Focus |
| --- | --- | --- | --- | --- |
| GreenField Network | play.greenfield.net | bedrock.greenfield.net | 19132 | Survival |
| RiverHub | mc.riverhub.org | br.riverhub.org | 19132 | Mini-games |
| CedarSMP | cedarsmp.net | cedarsmp.net | 19132 | Vanilla survival |
| ApexPlay | play.apexplay.com | apexplay.com | 19132 | Factions |
| Sunstone | join.sunstone.net | bedrock.sunstone.net | 19133 | Survival |
| PrismCraft | mc.prismcraft.net | pe.prismcraft.net | 19132 | Creative |
| HarborCraft | play.harborcraft.net | harborcraft.net | 19132 | Survival |
| NovaArcade | novaarcade.net | br.novaarcade.net | 19132 | Mini-games |
| IronVale | play.ironvale.org | bedrock.ironvale.org | 19132 | Prison |
| MapleRealm | maplerealm.net | br.maplerealm.net | 19132 | Survival |
