# European Union Council — EU Terrorist List (Common Position 2001 931 CFSP)  Selected Designated Organizations

| Designated Organization (as listed) | Designation Authority | EU Legal Basis / List Type | Initial EU Listing Date | Notes on Listing Metadata |
| --- | --- | --- | --- | --- |
| Hamas (Izz al-Din al-Qassam Brigades) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2003-09-12 | Listed as a terrorist organization under EU restrictive measures |
| Palestinian Islamic Jihad (PIJ) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2001-12-27 | Included on early implementing measures following the 2001 framework |
| Kurdistan Workers' Party (PKK) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2002-05-02 | Listed under EU asset-freeze / restrictive measures framework |
| Liberation Tigers of Tamil Eelam (LTTE) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2006-05-29 | Added via Council decision implementing the common position |
| Revolutionary People's Liberation Party/Front (DHKP/C) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2002-05-02 | Listed as an organization subject to EU restrictive measures |
| Abu Nidal Organization (ANO) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2001-12-27 | Appears on early EU designation/implementation lists |
| Al-Qaida | Council of the European Union | EU terrorist list / related UN-based measures | 2001-12-27 | Listed in EU context alongside UN-linked restrictive measures |
| Islamic State (ISIL/Da’esh) | Council of the European Union | EU terrorist list / related restrictive measures | 2014-06-24 | Listed following EU actions addressing ISIL/Da’esh |
| Hezbollah (military wing) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2013-07-22 | Listed as “military wing” per EU designation approach |
| ETA (Euskadi Ta Askatasuna) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2001-12-27 | Listed under the original EU post‑2001 framework |
| Irish Republican Army (Real IRA) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2001-12-27 | Listed as an organization subject to restrictive measures |
| Islamic Jihad Union (IJU) | Council of the European Union | EU terrorist list (2001/931/CFSP) | 2007-06-28 | Added through later Council implementing decisions |
