# Climate Averages by City (Temperature, Precipitation, Snowfall) — Annual Normals

| City | State/Region | Avg High Temp (°F) | Avg Low Temp (°F) | Avg Mean Temp (°F) | Typical Precipitation (in) | Typical Snowfall (in) | Notes |
|---|---|---:|---:|---:|---:|---:|---|
| Boise | Idaho | 63.7 | 41.3 | 52.5 | 11.66 (annual) | 19 (annual) | Semi-arid with winter snow |
| Moab | Utah | 71.7 | 42.0 | 56.85 | 9.49 (annual) | 4 (annual) | Very dry; light snow |
| Cleveland | Ohio | 59.6 | 43.1 | 51.35 | 39.12 (annual) | 68 (annual) | Great Lakes influence; snowy winters |
| Madison | Wisconsin | 55.8 | 36.8 | 46.3 | 34.44 (annual) | 47 (annual) | Cold winters; steady precipitation |
| New Bern | North Carolina | 54.5 | 33.9 | 44.2 | 4.02 (monthly) | 0 | Humid; rain year-round |
| Marco Island | Florida | 70.5 | 51.3 | 60.9 | 2.09 (monthly) | 0 | Warm; wet seasonality |
| Fallon | Nevada | 44.9 | 21.4 | 33.2 | 0.55 (monthly) | 3 (annual) | Very dry basin climate |
| Saint Anthony | Idaho | 28.3 | 8.6 | 18.4 | 1.38 (monthly) | 33 (annual) | Cold; snowy winters |
| Tucson | Arizona | 79.6 | 54.2 | 66.9 | 12.0 (annual) | 0 | Hot, semi-arid; monsoon rains |
| Seattle | Washington | 60.2 | 45.8 | 53.0 | 37.5 (annual) | 6 (annual) | Mild; rainy, low snow |
| Denver | Colorado | 64.1 | 35.3 | 49.7 | 14.6 (annual) | 60 (annual) | Dry overall; frequent snow events |
