# USPS Priority Mail Flat Rate Packaging — Commercial Base vs Retail (Post Office Online) Price Comparison

| Flat Rate category | Specific packaging option | Commercial Base price (USD) | Retail/PO-Online price (USD) | Notes |
| --- | --- | ---: | ---: | --- |
| Envelopes | Small Flat Rate Envelope | 5.85 | 6.65 | Paper envelope (flat-rate) |
| Envelopes | Legal Flat Rate Envelope | 6.05 | 6.85 | Larger envelope size |
| Envelopes | Padded Flat Rate Envelope | 6.55 | 7.35 | Bubble-lined envelope |
| Boxes | Small Flat Rate Box | 6.75 | 7.55 | Smallest flat rate box |
| Boxes | Medium Flat Rate Box (Top-Loading) | 12.45 | 14.05 | Standard medium box |
| Boxes | Medium Flat Rate Box (Side-Loading) | 12.45 | 14.05 | Same rate as top-loading |
| Boxes | Large Flat Rate Box | 17.25 | 19.85 | Largest standard flat rate box |
| Specialty boxes | Large Flat Rate Board Game Box | 17.25 | 19.85 | Specialty-shaped, large-rate tier |
| Military/Diplomatic | APO/FPO/DPO Flat Rate Box | 15.25 | 17.85 | For military/diplomatic addresses (where eligible) |
