# Emulators by Emulated Console Handheld (Grouped Lookup)

| System category | Emulated system | Emulator | Typical host platforms | Remarks |
| --- | --- | --- | --- | --- |
| Nintendo (handheld) | Game Boy / Game Boy Color | Gambatte | Windows, macOS, Linux | Commonly used in multi-system frontends |
| Nintendo (handheld) | Nintendo DS | DeSmuME | Windows, macOS, Linux | Longstanding DS emulator option |
| Nintendo (home) | Wii | Dolphin | Windows, macOS, Linux, Android | Also supports GameCube (separate entry below) |
| Nintendo (home) | GameCube | Dolphin | Windows, macOS, Linux, Android | Same emulator project; explicitly paired to GC here |
| Sony (home) | PlayStation 3 | RPCS3 | Windows, Linux, macOS | Modern high-performance PS3 emulator |
| Sony (handheld) | PlayStation Portable (PSP) | PPSSPP | Windows, macOS, Linux, Android, iOS | Popular PSP emulator |
| Sega (home) | Saturn | Yaba Sanshiro | Windows, Android | Saturn-focused emulator family |
| Sega (home) | Dreamcast | Redream | Windows, macOS, Linux, Android | User-friendly Dreamcast emulator |
| Arcade (SNK) | Neo Geo (MVS/AES) | FinalBurn Neo | Windows, Linux | Multi-arcade emulator with Neo Geo support |
| Arcade (general) | Multiple arcade boards | MAME | Windows, macOS, Linux | Targets a wide range of arcade hardware |
| Atari (home) | Atari 2600 | Stella | Windows, macOS, Linux | Dedicated Atari 2600 emulator |
