# Acid–Base Constants of Selected Amino Acids (pKa, pI) for Buffer Calculations

| Amino Acid | pKa (α-COOH) | pKa (α-NH3+) | Side-chain pKa | pI | Charge at pH 7 |
| --- | --- | --- | --- | --- | --- |
| Glycine | 2.34 | 9.60 | — | 5.97 | ~0 |
| Alanine | 2.35 | 9.87 | — | 6.11 | ~0 |
| Aspartic acid | 1.88 | 9.60 | 3.65 | 2.77 | −1 |
| Glutamic acid | 2.19 | 9.67 | 4.25 | 3.22 | −1 |
| Histidine | 1.82 | 9.17 | 6.00 | 7.59 | ~0/
| Lysine | 2.18 | 8.95 | 10.53 | 9.74 | +1 |
| Arginine | 2.17 | 9.04 | 12.48 | 10.76 | +1 |
| Cysteine | 1.96 | 10.28 | 8.18 | 5.07 | ~0 |
| Tyrosine | 2.20 | 9.11 | 10.07 | 5.66 | ~0 |
| Serine | 2.21 | 9.15 | — | 5.68 | ~0 |
