# Baby Name List with Explicit Origin and Meaning (Language-Focused)

| Name | Origin (Culture/Language) | Meaning/Definition | Gender Usage |
| --- | --- | --- | --- |
| Amina | Arabic | trustworthy; faithful | Typically feminine |
| Soraya | Persian | the Pleiades (star cluster) | Feminine |
| Arjun | Sanskrit (Hindu tradition) | bright; shining; white | Typically masculine |
| Mira | Latin / Slavic | wonderful (Latin); peace (Slavic) | Often feminine (varies by region) |
| Bodhi | Sanskrit/Buddhist tradition | awakening; enlightenment | Often masculine/unisex |
| Talia | Hebrew | dew from God | Feminine |
| Enzo | Italian | ruler of the household | Typically masculine |
| Imani | Swahili | faith | Feminine/unisex |
| Soren | Danish (from Old Norse) | stern; severe | Typically masculine |
| Chiara | Italian | clear; bright | Feminine |
| Omar | Arabic | long-lived; flourishing | Typically masculine |
| Saoirse | Irish (Gaelic) | freedom | Feminine |
