# Overall Dental School Program Rankings (Composite Score)

| Rank | Dental School (Program) | City, State | Composite Score (0–100) | Peer Reputation (1–5) | Notes |
| ---: | --- | --- | ---: | ---: | --- |
| 1 | University of Washington School of Dentistry | Seattle, WA | 96.4 | 4.8 | Strong research and clinical training |
| 2 | University of Pennsylvania School of Dental Medicine | Philadelphia, PA | 95.1 | 4.7 | High board performance trends |
| 3 | University of Michigan School of Dentistry | Ann Arbor, MI | 94.3 | 4.7 | Broad specialty exposure |
| 4 | Harvard School of Dental Medicine | Boston, MA | 93.0 | 4.6 | Research-focused curriculum |
| 5 | University of California, San Francisco School of Dentistry | San Francisco, CA | 92.6 | 4.6 | Strong academic reputation |
| 6 | New York University College of Dentistry | New York, NY | 91.8 | 4.5 | Large clinical patient pool |
| 7 | University of North Carolina at Chapel Hill Adams School of Dentistry | Chapel Hill, NC | 90.9 | 4.4 | Balanced clinical/science training |
| 8 | Columbia University College of Dental Medicine | New York, NY | 90.1 | 4.4 | Medical campus integration |
| 9 | University of California, Los Angeles School of Dentistry | Los Angeles, CA | 89.7 | 4.3 | Strong specialty placements |
| 10 | Tufts University School of Dental Medicine | Boston, MA | 88.9 | 4.3 | High clinical throughput |
