# 2016 NFL Draft  Top Overall Prospects Snapshot (No Positions Shown)

| Rank | Player | School |
| --- | --- | --- |
| 1 | Laremy Tunsil | Ole Miss |
| 2 | Joey Bosa | Ohio State |
| 3 | Jalen Ramsey | Florida State |
| 4 | Carson Wentz | North Dakota State |
| 5 | Jared Goff | California |
| 6 | DeForest Buckner | Oregon |
| 7 | Ronnie Stanley | Notre Dame |
| 8 | Ezekiel Elliott | Ohio State |
| 9 | Myles Jack | UCLA |
| 10 | Jack Conklin | Michigan State |
| 11 | Leonard Floyd | Georgia |
| 12 | Laquon Treadwell | Ole Miss |
