# Nutrient Targets by School Stage (Too Coarse, Not Specific Age Ranges)

| Nutrient | Elementary school | Middle school | High school | Unit | Notes |
|---|---:|---:|---:|---|---|
| Calcium | 800 | 1000 | 1200 | mg/day | Stage-based planning |
| Iron | 10 | 12 | 15 | mg/day | Not age-specific |
| Vitamin D | 10 | 15 | 15 | µg/day | Same for older groups |
| Fiber | 19 | 25 | 28 | g/day | Approximate |
| Potassium | 2500 | 3000 | 3400 | mg/day | Approximate |
| Magnesium | 200 | 300 | 360 | mg/day | Approximate |
| Zinc | 7 | 9 | 11 | mg/day | Approximate |
| Iodine | 90 | 120 | 150 | µg/day | Approximate |
| Vitamin C | 45 | 60 | 75 | mg/day | Approximate |
