# St Mary's Catholic High School Academic Calendar 2015–2016 (Term Dates and Holidays)

| School Year | Term / Holiday | Begins | Ends | Notes |
| --- | --- | --- | --- | --- |
| 2015–2016 | Autumn Term | 07 Sep 2015 | 23 Oct 2015 | Term 1 |
| 2015–2016 | Autumn Half-Term | 26 Oct 2015 | 30 Oct 2015 | Break |
| 2015–2016 | Autumn Term | 02 Nov 2015 | 18 Dec 2015 | Term 2 |
| 2015–2016 | Christmas Holiday | 21 Dec 2015 | 01 Jan 2016 | Break |
| 2015–2016 | Spring Term | 04 Jan 2016 | 12 Feb 2016 | Term 3 |
| 2015–2016 | Spring Half-Term | 15 Feb 2016 | 19 Feb 2016 | Break |
| 2015–2016 | Spring Term | 22 Feb 2016 | 24 Mar 2016 | Term 4 |
| 2015–2016 | Easter Holiday | 25 Mar 2016 | 08 Apr 2016 | Break |
| 2015–2016 | Summer Term | 11 Apr 2016 | 27 May 2016 | Term 5 |
| 2015–2016 | Summer Half-Term | 30 May 2016 | 03 Jun 2016 | Break |
| 2015–2016 | Summer Term | 06 Jun 2016 | 22 Jul 2016 | Term 6 |
