# Governor Elections by State  Term Outcomes and Incumbent Defeats (Recent Cycles)

| State | Election Year | Winner | Incumbent? | Result Type | Notes |
| --- | --- | --- | --- | --- | --- |
| Florida | 2018 | Ron DeSantis | No | Open seat | Previous governor was term-limited |
| Georgia | 2022 | Brian Kemp | Yes | Re-elected | Defeated challenger |
| Texas | 2022 | Greg Abbott | Yes | Re-elected | Won third term |
| New York | 2014 | Andrew Cuomo | Yes | Re-elected | Second term victory |
| Michigan | 2018 | Gretchen Whitmer | No | Open seat | Party retained seat |
| Arizona | 2022 | Katie Hobbs | No | Open seat | Incumbent did not run |
| California | 2022 | Gavin Newsom | Yes | Re-elected | Won second term |
| Illinois | 2022 | J.B. Pritzker | Yes | Re-elected | Won second term |
| Colorado | 2022 | Jared Polis | Yes | Re-elected | Won second term |
| Virginia | 2021 | Glenn Youngkin | No | Party flip | Cannot run for immediate re-election |
