# Radiology Department Fee Schedule  MRI Services (Spine and Non-Spine) With CPT Codes

| Category | Exam | CPT Code | Notes |
| --- | --- | --- | --- |
| Spine MRI | Cervical spine MRI without contrast | 72141 | Standard protocol |
| Spine MRI | Lumbar spine MRI without contrast | 72148 | Standard protocol |
| Neuro MRI | Brain MRI without contrast | 70551 | Includes diffusion |
| Neuro MRI | Pituitary MRI w/wo contrast | 70553 | Dynamic sequences |
| MSK MRI | Knee MRI without contrast | 73721 | 1.5T or 3T |
| MSK MRI | Shoulder MRI without contrast | 73221 | Rotator cuff |
| Body MRI | Abdomen MRI w/wo contrast | 74183 | Liver protocol |
| Body MRI | Pelvis MRI w/wo contrast | 72197 | Gynecologic |
| Vascular MRI | MRA neck w/wo contrast | 70549 | Carotids |
| Cardiac MRI | Cardiac MRI morphology & function | 75557 | Non-contrast |
