# Most Popular Baby Names (All-Time) - Overall Ranking

| Rank | Name | Gender | Notes |
|---:|---|---|---|
| 1 | Olivia | Girl | Consistently high across recent decades |
| 2 | Emma | Girl | Frequently in the Top 5 |
| 3 | Amelia | Girl | Trending upward in the 2010s |
| 4 | Noah | Boy | Dominant in many recent years |
| 5 | Liam | Boy | Rapid rise since the 2000s |
| 6 | Sophia | Girl | Peaked in the 2010s |
| 7 | Mason | Boy | Popular in the 2010s |
| 8 | Isabella | Girl | Strong long-run popularity |
| 9 | Jacob | Boy | Major popularity in the 2000s |
| 10 | Mia | Girl | Increasingly common recently |
