# Spider-Man  Into the Spider-Verse (2018) — Voice Cast and Characters

| Performer | Character (voice) | Character Type | Billing |
|---|---|---|---|
| Shameik Moore | Miles Morales / Spider-Man | Hero | Lead |
| Jake Johnson | Peter B. Parker / Spider-Man | Hero | Lead |
| Hailee Steinfeld | Gwen Stacy / Spider-Woman | Hero | Lead |
| Mahershala Ali | Aaron Davis / Prowler | Villain | Supporting |
| Brian Tyree Henry | Jefferson Davis | Family | Supporting |
| Lily Tomlin | Aunt May | Family | Supporting |
| John Mulaney | Spider-Ham (Peter Porker) | Hero | Supporting |
| Kimiko Glenn | Peni Parker | Hero | Supporting |
| Nicolas Cage | Spider-Man Noir | Hero | Supporting |
| Liev Schreiber | Wilson Fisk / Kingpin | Villain | Supporting |
