# 2016 NFL Draft RB Prospect Rankings (Pre-Draft Snapshot)

| RB Rank | Player | Position/Role | College |
|---:|---|---|---|
| 1 | Ezekiel Elliott | RB (three-down back) | Ohio State |
| 2 | Derrick Henry | RB (power runner) | Alabama |
| 3 | Kenyan Drake | RB (change-of-pace) | Alabama |
| 4 | Devontae Booker | RB (zone runner) | Utah |
| 5 | C.J. Prosise | RB (receiving back) | Notre Dame |
| 6 | Paul Perkins | RB (slasher) | UCLA |
| 7 | Tyler Ervin | RB (speed/returner) | San Jose State |
| 8 | Jordan Howard | RB (early-down grinder) | Indiana |
| 9 | Jonathan Williams | RB (downhill runner) | Arkansas |
| 10 | Kenneth Dixon | RB (all-purpose) | Louisiana Tech |
