# Paid Parental Leave Snapshot (Countries) — Duration and Wage Replacement

| Country | Maternity leave duration | Maternity pay | Paternity leave duration | Paternity pay | Notes (eligibility/ceiling) |
| --- | --- | --- | --- | --- | --- |
| Iran | 6 months | 100% | 14 days | 100% | Social insurance-linked payment; may depend on contribution history |
| France | 16 weeks | 100% (up to cap) | 28 days | 100% (up to cap) | Statutory benefits subject to earnings ceiling |
| Italy | 21.7 weeks | 80% | 10 days | 100% | Standard statutory scheme |
| Spain | 16 weeks | 100% | 16 weeks | 100% | Individual non-transferable entitlements |
| Japan | 14 weeks | ~67% | 0 weeks | N/A | Paternity typically via parental leave scheme |
| South Korea | 12.9 weeks | 100% (up to cap) | 0.2 weeks | 100% | Caps and employer/social insurance rules apply |
| Morocco | 14 weeks | 100% | 3 days | 100% | Short paternity leave; rules may vary by sector |
| India | 26 weeks | 100% | 0.2 weeks | 100% | Coverage depends on sector and eligibility |
| Australia | 18 weeks | Flat-rate | 2 weeks | Flat-rate | Government scheme uses flat-rate payment |
| Canada | 15 weeks | 55% (up to cap) | 5 weeks | 55% (up to cap) | Quebec differs; this row reflects federal program |
| United Kingdom | 52 weeks | Mixed (partial pay) | 2 weeks | Flat-rate | Statutory pay has flat-rate component |
| United States | 0 weeks | Unpaid | 0 weeks | Unpaid | Federal leave is generally unpaid; some states differ |
| Mexico | 12 weeks | 100% | 1 week | 100% | Standard statutory benefits |
| Finland | 18 weeks | 70% (up to cap) | 11 weeks | 70% (up to cap) | Earnings-related with ceiling |
| Germany | 14 weeks | 100% | 0 weeks | N/A | Parental allowance available separately |
| Turkey | 16 weeks | 66% | 1 week | 100% | Statutory sick fund / employer rules |
| UAE | 10 weeks | 100% | 1 week | 100% | Public/private rules may differ |
| Egypt | 12 weeks | 100% | 0 weeks | N/A | Standard statutory maternity leave |
| Pakistan | 12 weeks | 100% | 0 weeks | N/A | Standard statutory maternity leave |
| Jordan | 10 weeks | 100% | 1 day | 100% | Very short paternity leave |
| Saudi Arabia | 10 weeks | 100% | 3 days | 100% | Private sector rules may differ |
| Qatar | 7 weeks | 100% | 3 days | 100% | Public/private rules may differ |
| Oman | 10 weeks | 100% | 3 days | 100% | Public/private rules may differ |
