# New York ZIP Codes and Borough County Crosswalk (NYC-focused)

| ZIP Code | Common City | Borough | County | ZIP Type |
|---|---|---|---|---|
| 10001 | New York | Manhattan | New York County | Standard |
| 10002 | New York | Manhattan | New York County | Standard |
| 11201 | Brooklyn | Brooklyn | Kings County | Standard |
| 11215 | Brooklyn | Brooklyn | Kings County | Standard |
| 10451 | Bronx | Bronx | Bronx County | Standard |
| 10301 | Staten Island | Staten Island | Richmond County | Standard |
| 11101 | Long Island City | Queens | Queens County | Standard |
| 11373 | Jackson Heights | Queens | Queens County | Standard |
| 11001 | Floral Park | (Outside NYC) | Nassau County | Standard |
| 12207 | Albany | (Upstate) | Albany County | Standard |
