# Singapore-based Companies and Regional Presence (Not a Listing Register)

| Company | HQ Country | Primary Business | Sector | SGX Mention (if any) | Notes |
| --- | --- | --- | --- | --- | --- |
| Bee Cheng Hiang | Singapore | Food products | Consumer Staples | - | Private family business; regional retail network |
| Razer Inc. | Singapore | Gaming hardware/software | Technology | NYSE: RAZER (ADR) | Often mistaken as SGX-listed due to Singapore HQ |
| Grab Holdings Ltd. | Singapore | Ride-hailing / fintech | Technology | NASDAQ: GRAB | Singapore-based but listed in the U.S. |
| Sea Limited | Singapore | E-commerce / gaming | Technology | NYSE: SE | Public, but not on SGX |
| Lazada Group | Singapore | E-commerce | Consumer Discretionary | - | Subsidiary; not separately listed |
| RedMart | Singapore | Online grocery | Consumer Staples | - | Subsidiary brand; not listed |
| PropertyGuru Group | Singapore | Real estate classifieds | Communication Services | NYSE: PGRU (historical) | Listed abroad; not SGX |
| Ninja Van | Singapore | Logistics | Industrials | - | Private company |
| Carousell | Singapore | Online marketplace | Communication Services | - | Private company |
| Secretlab | Singapore | Consumer furniture | Consumer Discretionary | - | Private company |
