# Secondary School Subject Availability (GCSE vs A level) — Example Offer List

| Subject | Offered at GCSE | Offered at A level |
|---|---|---|
| English Language | Yes | Yes |
| English Literature | Yes | Yes |
| Mathematics | Yes | Yes |
| Further Mathematics | Yes | Yes |
| Biology | Yes | Yes |
| Chemistry | Yes | Yes |
| Physics | Yes | Yes |
| Combined Science (Trilogy) | Yes | No |
| Computer Science | Yes | Yes |
| History | Yes | Yes |
| Geography | Yes | Yes |
| Religious Studies | Yes | Yes |
| Art & Design | Yes | Yes |
| Design & Technology | Yes | Yes |
| Music | Yes | Yes |
| Drama | Yes | Yes |
| Physical Education | Yes | Yes |
| Business | Yes | Yes |
| Economics | No | Yes |
| Psychology | No | Yes |
| Sociology | Yes | Yes |
