# Need for Speed series — mainline and notable spin-offs (selected release list)

| Era | Title | Release year | Primary platform(s) at launch | Developer | Publisher |
| --- | --- | --- | --- | --- | --- |
| Classic (Road & Track) | The Need for Speed | 1994 | 3DO, MS-DOS | EA Canada | Electronic Arts |
| Classic (Road & Track) | Need for Speed II | 1997 | PC, PlayStation | EA Canada | Electronic Arts |
| Classic (Road & Track) | Need for Speed III: Hot Pursuit | 1998 | PC, PlayStation | EA Canada | Electronic Arts |
| Classic (Road & Track) | Need for Speed: High Stakes | 1999 | PC, PlayStation | EA Canada | Electronic Arts |
| Classic → Underground era | Need for Speed: Porsche Unleashed | 2000 | PC, PlayStation | EA Canada | Electronic Arts |
| Underground era | Need for Speed: Underground | 2003 | PS2, Xbox, PC | EA Black Box | Electronic Arts |
| Underground era | Need for Speed: Underground 2 | 2004 | PS2, Xbox, PC | EA Black Box | Electronic Arts |
| Black Box era | Need for Speed: Most Wanted | 2005 | PS2, Xbox, PC | EA Black Box | Electronic Arts |
| Black Box era | Need for Speed: Carbon | 2006 | PS2, Xbox 360, PC | EA Black Box | Electronic Arts |
| Reboot / multiplayer | Need for Speed: World | 2010 | PC | EA Black Box | Electronic Arts |
