# Common Anions (Negative Ions) with Explicit Charge Notation

| Category | Ion name | Ion notation (with sign) | Notes |
| --- | --- | --- | --- |
| Halide | Fluoride | F- | monatomic anion |
| Halide | Chloride | Cl- | monatomic anion |
| Halide | Bromide | Br- | monatomic anion |
| Halide | Iodide | I- | monatomic anion |
| Oxyanion | Nitrate | NO3- | common polyatomic anion |
| Oxyanion | Nitrite | NO2- | related to nitrate |
| Oxyanion | Sulfate | SO4^2- | charge shown as 2- |
| Oxyanion | Sulfite | SO3^2- | sulfur oxyanion |
| Oxyanion | Carbonate | CO3^2- | common in salts |
| Oxyanion | Phosphate | PO4^3- | common in ionic compounds |
| Base/acid conjugate | Hydroxide | OH- | common base |
| Oxyanion | Acetate | C2H3O2- | also written CH3COO- |
