# Largest Employers in Pima County, Arizona — Workforce Share Only (Percentages, No Headcounts)

| Rank | Employer | Industry | Share of County Workforce |
|---:|---|---|---:|
| 1 | Raytheon Missiles & Defense (Tucson) | Aerospace & Defense | 4.8% |
| 2 | University of Arizona | Higher Education | 4.3% |
| 3 | Tucson Unified School District | Education | 3.2% |
| 4 | Banner – University Medicine | Healthcare | 2.9% |
| 5 | Pima County Government | Government | 2.6% |
| 6 | City of Tucson | Government | 2.1% |
| 7 | Davis-Monthan Air Force Base | Defense | 1.9% |
| 8 | Walmart (Local Operations) | Retail | 1.4% |
| 9 | Tucson Medical Center | Healthcare | 1.3% |
| 10 | Freeport-McMoRan (Regional) | Mining | 1.1% |
