# State Income Tax Deadlines by Return Type (Resident vs Nonresident vs Part-Year)

| State | Return Type | Standard Return Due Date | Extension Filing Due Date | Return Due After Extension | Notes |
|---|---|---|---|---|---|
| Georgia | Resident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Applies to full-year residents |
| Georgia | Nonresident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Same date, different form |
| New Jersey | Resident | 2024-04-15 | 2024-04-15 | 2024-10-15 | May require payment with extension |
| New Jersey | Part-year | 2024-04-15 | 2024-04-15 | 2024-10-15 | Part-year resident filing |
| Ohio | Resident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Typical conformity |
| Ohio | Nonresident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Same date, different schedules |
| Pennsylvania | Resident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Filing extension available |
| Pennsylvania | Nonresident | 2024-04-15 | 2024-04-15 | 2024-10-15 | Nonresident return |
| Virginia | Resident | 2024-05-01 | 2024-05-01 | 2024-11-01 | VA commonly differs from federal |
| Virginia | Nonresident | 2024-05-01 | 2024-05-01 | 2024-11-01 | Same dates, different form |
