# Plant Deer Resistance Mentioned Only in Notes (No Dedicated Rating Column)

| Common Name | Latin Name | Type | Notes on Deer Interaction |
|---|---|---|---|
| Russian sage | Salvia yangii | Perennial | Often described as deer resistant in many gardens |
| Hosta | Hosta spp. | Perennial | Commonly browsed; considered a deer favorite |
| Yarrow | Achillea millefolium | Perennial | Sometimes avoided; browsing varies by site |
| Hydrangea | Hydrangea macrophylla | Shrub | May be eaten when young or in drought |
| Lavender | Lavandula angustifolia | Perennial | Frequently cited as deer resistant due to fragrance |
| Roses | Rosa spp. | Shrub | Tender growth can be browsed |
| Tulip | Tulipa spp. | Bulb | Often browsed in spring |
| Daffodil | Narcissus spp. | Bulb | Usually avoided; sap may deter browsing |
| Holly | Ilex aquifolium | Shrub/Tree | Can be browsed in winter scarcity |
| Bee balm | Monarda didyma | Perennial | Browsing inconsistent; depends on pressure |
| Arborvitae | Thuja occidentalis | Shrub/Tree | Frequently browsed in many regions |
