# Daylight Saving Time and Standard Offsets by Country Territory (Abbreviations Focus)

| Country/Territory | Standard Time Abbrev. | Standard UTC Offset | Daylight Time Abbrev. | Daylight UTC Offset | Notes |
| --- | --- | --- | --- | --- | --- |
| United States | EST | UTC−05:00 | EDT | UTC−04:00 | Abbrev. varies by zone |
| Canada | EST | UTC−05:00 | EDT | UTC−04:00 | Multiple time zones |
| United Kingdom | GMT | UTC±00:00 | BST | UTC+01:00 | UK uses British Summer Time |
| Germany | CET | UTC+01:00 | CEST | UTC+02:00 | Central European Time |
| Brazil | BRT | UTC−03:00 | BRST | UTC−02:00 | DST policies vary by year |
| Australia | AEST | UTC+10:00 | AEDT | UTC+11:00 | Not uniform across states |
| Japan | JST | UTC+09:00 | — | — | No DST |
| South Africa | SAST | UTC+02:00 | — | — | No DST |
| Mexico | CST | UTC−06:00 | CDT | UTC−05:00 | Border regions differ |
| Jamaica | EST | UTC−05:00 | — | — | No DST |
| Egypt | EET | UTC+02:00 | EEST | UTC+03:00 | Observance changes |
| Russia | MSK | UTC+03:00 | — | — | No DST (since 2014) |
