# Bottled Water Brand pH Scorecard (Star Ratings Instead of Measured pH)

| Brand | Acidity/Alkalinity Rating | Score (1–5) | Rationale |
| --- | --- | --- | --- |
| Essentia | Alkaline | 5 | Advertised as high pH alkaline water |
| Icelandic Glacial | Alkaline | 5 | Often perceived as crisp/alkaline |
| Acqua Panna | Slightly alkaline | 4 | Smooth taste, spring source |
| Evian | Neutral | 3 | Balanced mineral profile |
| Fiji | Neutral | 3 | Mild taste, artesian source |
| Smartwater | Neutral | 3 | Purified with electrolytes |
| VOSS | Slightly alkaline | 4 | Clean taste profile |
| Poland Spring | Slightly acidic | 2 | Some sources taste slightly tart |
| Perrier | Acidic | 1 | Sparkling, carbonic acid bite |
| Propel | Very acidic | 1 | Flavored product with acids |
