# PayScale Skill Pay by Role (SQL)

| Role (Job Title) | Typical Annual Pay (USD) | Skill Focus | Common Use of Skill |
| --- | ---: | --- | --- |
| Junior Data Analyst | 58500 | SQL | Querying dashboards & ad-hoc reporting |
| Business Intelligence (BI) Analyst | 74200 | SQL | Building KPI reporting layers |
| Data Engineer | 110300 | SQL | ETL/ELT pipelines & warehouse modeling |
| Analytics Engineer | 103800 | SQL | Transformations in dbt / semantic models |
| Database Administrator (DBA) | 98200 | SQL | Performance tuning, backups, access control |
| Product Analyst | 87900 | SQL | Experiment analysis & funnel reporting |
| Marketing Analyst | 70100 | SQL | Attribution queries & cohort analysis |
| Data Scientist | 121600 | SQL | Feature pulls & model monitoring datasets |
| Software Engineer (Backend) | 128400 | SQL | Transactional data access & schema design |
