# Metric Tap Drill Size Chart (Thread Designation MxP to Recommended Drill in mm)

| Thread designation (MxP) | Recommended tap drill (mm) | Notes |
|---|---:|---|
| M6 x 1.0 | 5.0 | ISO coarse |
| M6 x 0.75 | 5.2 | ISO fine |
| M8 x 1.25 | 6.8 | ISO coarse |
| M8 x 1.0 | 7.0 | ISO fine |
| M10 x 1.5 | 8.5 | ISO coarse |
| M10 x 1.25 | 8.8 | ISO fine |
| M10 x 1.0 | 9.0 | extra-fine |
| M12 x 1.75 | 10.2 | ISO coarse |
| M12 x 1.5 | 10.5 | ISO fine |
| M12 x 1.25 | 10.8 | extra-fine |
| M14 x 2.0 | 12.0 | ISO coarse |
| M14 x 1.5 | 12.5 | ISO fine |
