# Chronology of WWII  Global Events Including the Pacific (1939–1945)

| Date | Event | Theater |
| --- | --- | --- |
| Sep 1, 1939 | Germany invades Poland | Europe |
| Sep 3, 1939 | Britain and France declare war on Germany | Europe |
| Jun 22, 1941 | Germany invades the Soviet Union (Operation Barbarossa) | Europe |
| Dec 7, 1941 | Japan attacks Pearl Harbor | Pacific |
| Jun 4–7, 1942 | Battle of Midway | Pacific |
| Jun 6, 1944 | Allied landings in Normandy (D-Day) | Europe |
| Feb 4–11, 1945 | Yalta Conference | Europe |
| May 8, 1945 | VE Day (Germany surrenders) | Europe |
| Aug 6, 1945 | Atomic bombing of Hiroshima | Pacific |
