# Showdown ( AFL )
> Statistics

| # | Player | Club | Clearances | Games | Average |
| --- | --- | --- | --- | --- | --- |
| 1 | Scott Thompson | Adelaide Football Club | 124 | 25 | 4.96 |
| 2 | Simon Goodwin | Adelaide Football Club | 87 | 23 | 3.78 |
| 3 | Travis Boak | Port Adelaide Football Club | 83 | 18 | 4.61 |
| 4 | Josh Francou | Port Adelaide Football Club | 81 | 15 | 5.40 |
| 5 | Peter Burgoyne | Port Adelaide Football Club | 78 | 19 | 4.11 |
| 6 | Patrick Dangerfield | Adelaide Football Club | 74 | 13 | 5.69 |
| 7 | Andrew McLeod | Adelaide Football Club | 67 | 27 | 2.48 |
| 8 | Domenic Cassisi | Port Adelaide Football Club | 64 | 20 | 3.20 |
| 9 | Mark Ricciuto | Adelaide Football Club | 63 | 18 | 3.50 |
| 10 | Dean Brogan | Port Adelaide Football Club | 60 | 16 | 3.75 |
