# 2011 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Buycks, Dwight Dwight Buycks | PG | United States | Marquette (Sr.) |
| Dragić, Zoran Zoran Dragić | G/F | Slovenia | KK Krka ( Slovenia ) |
| Garrett, Diante Diante Garrett | G | United States | Iowa State (Sr.) |
| Hansbrough, Ben Ben Hansbrough | G | United States | Notre Dame (Sr.) |
| Higgins, Cory Cory Higgins | G | United States | Colorado (Sr.) |
| Holiday, Justin Justin Holiday | F | United States | Washington (Sr.) |
| Holland, John John Holland | SG | United States Puerto Rico | Boston University (Sr.) |
| Hopson, Scotty Scotty Hopson | SG | United States | Tennessee (Sr.) |
| Kennedy, D. J. D. J. Kennedy | G/F | United States | St. John's (Sr.) |
| Lucas, Kalin Kalin Lucas | PG | United States | Michigan State (Sr.) |
| Reed, Willie Willie Reed | F/C | United States | Saint Louis (So.) |
| Silas, Xavier Xavier Silas | G | United States | Northern Illinois (Sr.) |
| Smith, Greg Greg Smith | C | United States | Fresno State (So.) |
| Stepheson, Alex Alex Stepheson | PF | United States | USC (Sr.) |
| Stone, Julyan Julyan Stone | SG | United States | UTEP (Sr.) |
| Thomas, Malcolm Malcolm Thomas | F | United States | San Diego State (Sr.) |
| Thompson, Mychel Mychel Thompson | F/G | United States | Pepperdine (Sr.) |
| Wright, Chris Chris Wright | F | United States | Dayton (Sr.) |
| Wright, Chris Chris Wright | PG | United States | Georgetown (Sr.) |
