# Pat Williams ( American football )
> Professional career

| Year | Team | Games | Combined Tackles | Tackles | Assisted Tackles | Sacks | Forced Fumbles | Fumble Recoveries |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1998 | BUF | 13 | 12 | 11 | 1 | 3.5 | 0 | 0 |
| 1999 | BUF | 16 | 32 | 25 | 7 | 2.5 | 1 | 0 |
| 2000 | BUF | 16 | 55 | 37 | 18 | 2.5 | 1 | 2 |
| 2001 | BUF | 13 | 59 | 41 | 18 | 1.5 | 0 | 0 |
| 2002 | BUF | 16 | 83 | 53 | 30 | 0.5 | 2 | 1 |
| 2003 | BUF | 16 | 81 | 54 | 27 | 0.0 | 0 | 1 |
| 2004 | BUF | 16 | 53 | 37 | 16 | 2.5 | 0 | 1 |
| 2005 | MIN | 16 | 66 | 41 | 25 | 1.5 | 1 | 0 |
| 2006 | MIN | 16 | 44 | 37 | 7 | 1.0 | 1 | 0 |
| 2007 | MIN | 16 | 62 | 43 | 19 | 2.0 | 0 | 2 |
| 2008 | MIN | 14 | 44 | 31 | 13 | 1.0 | 0 | 1 |
| 2009 | MIN | 15 | 44 | 34 | 10 | 2.0 | 2 | 0 |
| 2010 | MIN | 16 | 30 | 22 | 8 | 0.0 | 1 | 0 |
| Career |  | 199 | 665 | 466 | 199 | 20.5 | 9 | 8 |
