# Robert E . Lee
> Summaries of Lee 's Civil War battles

| Battle | Date | Result | Opponent | Confederate troop strength | Union troop strength | Confederate casualties | Union casualties | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cheat Mountain | September 11–13, 1861 | Defeat | Reynolds | 5,000 | 3,000 | ~90 | 88 | Lee's first battle of the Civil War. Severely criticized, Lee was nicknamed "Granny Lee". Lee was sent to SC and GA to supervise fortifications. [107] |
| Seven Days | June 25 – July 1, 1862 | Victory Oak Grove: Draw (Union withdrawal) Beaver Dam Creek: Union victory Gaine's Mill: Confederate victory Savage's Station: Draw Glendale: Draw (Union withdrawal) Malvern Hill: Union victory | McClellan | 95,000 | 91,000 | 20,614 | 15,849 | Lee acquitted himself well, and remained in field command for the duration of the war under the direction of Jefferson Davis. Union troops remained on the Lower Peninsula and at Fortress Monroe, which became a terminus on the Underground Railroad, and the site terming escaped slaves as "contribands", no longer returned to their rebel owners. |
| Second Manassas | August 28–30, 1862 | Victory | Pope | 49,000 | 76,000 | 9,197 | 16,054 | Union forces continued to occupy northern Virginia |
| South Mountain | September 14, 1862 | Defeat | McClellan | 18,000 | 28,000 | 2,685 | 1,813 | Confederates lost control of westernmost Virginian congressional districts which would later be the core counties of West Virginia. |
| Antietam | September 16–18, 1862 | Defeat | McClellan | 52,000 | 75,000 | 13,724 | 12,410 | Confederates lost an opportunity to gain foreign recognition, Lincoln moved forward on his preliminary Emancipation Proclamation. |
| Fredericksburg | December 11, 1862 | Victory | Burnside | 72,000 | 114,000 | 5,309 | 12,653 | With Lee's troops and supplies depleted, Confederates remained in place south of the Rappahannock. Union forces did not withdraw from northern Virginia. |
| Chancellorsville | May 1, 1863 | Victory | Hooker | 57,000 | 105,000 | 12,764 | 16,792 | Union forces withdrew to ring of defenses around Washington, DC. |
| Gettysburg | July 1, 1863 | Defeat | Meade | 75,000 | 83,000 | 23,231 –28,063 | 23,049 | The Confederate army was physically and spiritually exhausted. Meade was criticized for not immediately pursuing Lee's army. This battle become known as the High Water Mark of the Confederacy. [108] Lee would never personally invade the North again after this battle. Rather he was determined to defend Richmond and eventually Petersburg at all costs. |
| Wilderness | May 5, 1864 | Inconclusive | Grant | 61,000 | 102,000 | 11,400 | 18,400 | Lee's tactical victory, yet Grant continued his offensive, circling east and south advancing on Richmond and Petersburg |
| Spotsylvania | May 12, 1864 | Inconclusive [109] | Grant | 52,000 | 100,000 | 12,000 | 18,000 | Although beaten and unable to take Lee's defenses, Grant continued the Union offensive, circling east and south advancing on Richmond and Petersburg |
| Cold Harbor | June 1, 1864 | Victory | Grant | 62,000 | 108,000 | 2,500 | 12,000 | Although Grant was able to continue his offensive, Grant referred to the Cold Harbor assault as his "greatest regret" of the war in his memoirs. |
| Fussell's Mill | August 14, 1864 | Victory | Hancock | 20,000 | 28,000 | 1,700 | 2,901 | Union attempt to break Confederate siege lines at Richmond, the Confederate capital |
| Appomattox Campaign | March 29, 1865 | Defeat | Grant | 50,000 | 113,000 | no record available | 10,780 | General Robert E. Lee surrendered to General Ulysses S. Grant. [110] After the surrender Grant gave Lee's army much-needed food rations, they were paroled to return to their homes, never to take up arms against the Union again. |
