# Drill bit sizes
> Drill Bit Conversion Table

| gauge | in | mm |
| --- | --- | --- |
| 80 | 0.0135 | 0.343 |
| 79 | 0.0145 | 0.368 |
| 78 | 0.016 | 0.406 |
| 77 | 0.018 | 0.457 |
| 76 | 0.020 | 0.508 |
| 75 | 0.021 | 0.533 |
| 74 | 0.0225 | 0.572 |
| 73 | 0.024 | 0.610 |
| 72 | 0.025 | 0.635 |
| 71 | 0.026 | 0.660 |
| 70 | 0.028 | 0.711 |
| 69 | 0.0292 | 0.742 |
| 68 | 0.031 | 0.787 |
| 67 | 0.032 | 0.813 |
| 66 | 0.033 | 0.838 |
| 65 | 0.035 | 0.889 |
| 64 | 0.036 | 0.914 |
| 63 | 0.037 | 0.940 |
| 62 | 0.038 | 0.965 |
| 61 | 0.039 | 0.991 |
| 60 | 0.040 | 1.016 |
| 59 | 0.041 | 1.041 |
| 58 | 0.042 | 1.067 |
| 57 | 0.043 | 1.092 |
| 56 | 0.0465 | 1.181 |
| 55 | 0.052 | 1.321 |
| 54 | 0.055 | 1.397 |
