# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| --- | --- | --- | --- |
| 14 | 1 | 23 September 1990 | "Hey Mon/Hedley Hospital" "Sidekick" "Bigger Brothers" "Mudhead's Funeral" "Men on Films II" Musical guests Queen Latifah and Flavor Flav close the show |
| 15 | 2 | 30 September 1990 | "Anton: Army Recruitment Office" "The Man Trainer" " Roseanne Sings America " " Luther Campbell Writes a Clean Song" "Homey D. Clown: When Homey Met Sally " |
| 16 | 3 | 7 October 1990 | " Untouchables " baseball bat dinner intro "Flatuscents" "Good Morning/Good Night" "Cephus & Reesie's Broadway Tour" "The Buttmans: Guess Who's Coming to Dinner?" " Spike's Joint " |
| 17 | 4 | 14 October 1990 | "Fly Girl Brain Surgeons" "Tag Team Evangelists" "Benita Butrell: Uninvited Guest" "1-900-YT-GUILT" "Al MacAfee: Hall Monitor" Musical guest Monie Love closes the show |
| 18 | 5 | 21 October 1990 | The B.S. Brothers make their debut in the show opener "Black Like You" "Go On Girl: Sensitive Men" "I Won't Drift Away" " Miss Black Person U.S.A. " |
| 19 | 6 | 28 October 1990 | Musical guest Heavy D & the Boyz opens the show "Hey Mon/Hedley Court" "Shahrazad Ali's Video" "Snackin' Shack" "Frenchie" |
| 20 | 7 | 4 November 1990 | "Shawn Wayans, Rap Star" "B.S. Brothers: Penitentiary IV" " Iraqi Fashion Show" "Lil' Miss Trouble: The School Play" "Vera De Milo: Buffed, Beautiful, and Bitchen" " Homeboy Shopping Network : Hollywood Homeboys" |
| 21 | 8 | 11 November 1990 | "Magenta Thompson's Acting School" "Foundation for Golf Heritage" "Evelyn Smith" " Laquita Sings the Blues ", featuring Billy Dee Williams Billy Dee Williams closes the show |
| 22 | 9 | 18 November 1990 | Carl Jamal Taylor guest stars as first "Fly Guy" " Lassie '90" "Amazing Grace — Rocky VI" "Dinner with Millie" (cut from DVD) "PMS Defense System" "Men on Vacation" Musical guest 3rd Bass closes the show |
| 23 | 10 | 25 November 1990 | "The Brothers Brothers: Two Sistas for Two Brothers" " Barbara Bush Visits the Illiterates" "Dickie Peterson: Cherub of Justice" "Anton's Thanksgiving" Musical guest D-Nice closes the show |
| 24 | 11 | 16 December 1990 | " Three Champs and a Little Lady " " The Newlywed Game " "The Good Behavior Variety Hour" "Handi Man: The Justice Legion of America " Musical guest Nikki D closes the show |
| 25 | 12 | 23 December 1990 | "Afro-phone" "Vera De Milo: Veracosa, Mistress of Destruction" "Cephus & Reesie: The Christmas Album" "Lil' Miss Trouble at the Museum" "Homey D. Clown: Homey Claus " Infamous 25th episode cake incident, where David Alan Grier runs his finger through the cake and is subsequently caught and dumped, fanny-first, on top of the adulterated cake. |
| 26 | 13 | 13 January 1991 | "The Brothers Brothers: Tom and Tom for the Arizona Tourism Commission" "Johnny Abdul—Saudi-Rock Star" "The Last Orphan" "Velma Mullholland" "B.S. Brothers: Funky Finger Productions" "The Head Detective" Musical guest Rich Nice closes the show |
