# List of Chicago Cubs team records
> Baseball Hall of Famers

| Year Inducted | Name | Position | Years with Cubs |
| --- | --- | --- | --- |
| 1939 | Cap Anson | 1B | 1876–1897 |
| 1939 | Al Spalding | Executive | 1876–1878 |
| 1945 | King Kelly | RF | 1880–1886 |
| 1946 | Frank Chance | 1B | 1898–1912 |
| 1946 | Johnny Evers | 2B | 1902–1913 |
| 1946 | Joe Tinker | SS | 1902–1912 1916 |
| 1949 | Mordecai Brown | P | 1904–1912 1916 |
| 1955 | Gabby Hartnett | C | 1922–1940 |
| 1968 | Kiki Cuyler | LF | 1928–1935 |
| 1975 | Billy Herman | 2B | 1931–1941 |
| 1977 | Ernie Banks | SS | 1953–1971 |
| 1979 | Hack Wilson | CF | 1926–1931 |
| 1987 | Billy Williams | LF | 1959–1974 |
| 1991 | Fergie Jenkins | P | 1966–1973 1982–1983 |
| 2005 | Ryne Sandberg | 2B | 1982–1994 1996–1997 |
| 2006 | Bruce Sutter | P | 1976–1980 |
| 2012 | Ron Santo | 3B | 1960–1973 |
| 2014 | Greg Maddux | P | 1986–1992 2004–2006 |
