# Sovereign Ratings Comparison Table — Emerging vs. Advanced Economies (S&P   Moody's   Fitch) with Outlooks

| Group | Country | S&P Rating | S&P Outlook | Moody's Rating | Moody's Outlook | Fitch Rating | Fitch Outlook |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Advanced | Australia | AAA | Stable | Aaa | Stable | AAA | Stable |
| Advanced | New Zealand | AA+ | Stable | Aaa | Stable | AA+ | Stable |
| Advanced | South Korea | AA | Stable | Aa2 | Stable | AA- | Stable |
| Advanced | Singapore | AAA | Stable | Aaa | Stable | AAA | Stable |
| Emerging | Mexico | BBB | Stable | Baa2 | Stable | BBB- | Stable |
| Emerging | Brazil | BB | Stable | Ba2 | Stable | BB | Stable |
| Emerging | Indonesia | BBB | Stable | Baa2 | Stable | BBB | Stable |
| Emerging | Philippines | BBB+ | Stable | Baa2 | Stable | BBB | Stable |
| Emerging | Turkey | B+ | Stable | B3 | Stable | B | Stable |
| Emerging | Argentina | CCC | Negative | Ca | Stable | CC | Negative |
| Frontier | Kenya | B | Stable | B3 | Stable | B | Negative |
| Frontier | Pakistan | CCC+ | Stable | Caa3 | Stable | CCC+ | Negative |
