# Law & Order (Original Series) —  Indifference  (TV Episode 1990) — Episode Cast

| Billing | Actor | Character |
| --- | --- | --- |
| Starring | George Dzundza | Sgt. Max Greevey |
| Starring | Chris Noth | Det. Mike Logan |
| Starring | Dann Florek | Capt. Donald Cragen |
| Starring | Richard Brooks | ADA Paul Robinette |
| Starring | Michael Moriarty | Exec. ADA Ben Stone |
| Co-starring | Steven Hill | DA Adam Schiff |
| Guest | Kate Nelligan | Kathleen Durso |
| Guest | John Heard | Dr. Curtis Durso |
| Guest | Joanna Merlin | Judge Marlene P. |
